count,dateTime,waistX,waistY,waistZ,expStatus,LimitStatus,overStatus
0,2019/11/20 16:30:52.838,53.67018,55.13135,407.0688,1,0,0
1,2019/11/20 16:30:52.879,53.67018,55.13135,407.0688,1,0,0
2,2019/11/20 16:30:52.960,53.67018,55.13135,407.0688,1,0,0
3,2019/11/20 16:30:53.10,53.67018,55.13135,407.0688,1,0,0
4,2019/11/20 16:30:53.62,53.67018,55.13135,407.0688,1,0,0
5,2019/11/20 16:30:53.126,53.67018,55.13135,407.0688,1,0,0
6,2019/11/20 16:30:53.181,53.67018,55.13135,407.0688,1,0,0
7,2019/11/20 16:30:53.226,53.67018,55.13135,407.0688,1,0,0
8,2019/11/20 16:30:53.285,53.67018,55.13135,407.0688,1,0,0
9,2019/11/20 16:30:53.341,53.67018,55.13135,407.0688,1,0,0
10,2019/11/20 16:30:53.396,53.67018,55.13135,407.0688,1,0,0
11,2019/11/20 16:30:53.459,53.67018,55.13135,407.0688,1,0,0
12,2019/11/20 16:30:53.504,53.67018,55.13135,407.0688,1,0,0
13,2019/11/20 16:30:53.543,53.67018,55.13135,407.0688,1,0,0
14,2019/11/20 16:30:53.614,53.67018,55.13135,407.0688,1,0,0
15,2019/11/20 16:30:53.669,53.67018,55.13135,407.0688,1,0,0
16,2019/11/20 16:30:53.714,53.67018,55.13135,407.0688,1,0,0
17,2019/11/20 16:30:53.779,53.67018,55.13135,407.0688,1,0,0
18,2019/11/20 16:30:53.832,53.67018,55.13135,407.0688,1,0,0
19,2019/11/20 16:30:53.878,53.67018,55.13135,407.0688,1,0,0
20,2019/11/20 16:30:53.937,53.67018,55.13135,407.0688,1,0,0
21,2019/11/20 16:30:53.987,53.67018,55.13135,407.0688,1,0,0
22,2019/11/20 16:30:54.42,53.67018,55.13135,407.0688,1,0,0
23,2019/11/20 16:30:54.108,53.67018,55.13135,407.0688,1,0,0
24,2019/11/20 16:30:54.154,53.67018,55.13135,407.0688,1,0,0
25,2019/11/20 16:30:54.194,53.67018,55.13135,407.0688,1,0,0
26,2019/11/20 16:30:54.276,53.67018,55.13135,407.0688,1,0,0
27,2019/11/20 16:30:54.323,53.67018,55.13135,407.0688,1,0,0
28,2019/11/20 16:30:54.379,24.7792,15.00062,393.0542,1,0,-1
29,2019/11/20 16:30:54.463,23.38772,11.28354,395.0508,1,0,-1
30,2019/11/20 16:30:54.536,18.34511,5.922291,395.1108,1,0,-1
31,2019/11/20 16:30:54.597,11.67566,3.91392,390.6637,1,0,-1
32,2019/11/20 16:30:54.669,6.783802,5.641474,388.2738,1,0,-1
33,2019/11/20 16:30:54.735,3.724537,9.720826,388.2711,1,0,-1
34,2019/11/20 16:30:54.787,3.045603,13.41881,386.9215,1,0,-1
35,2019/11/20 16:30:54.858,3.086152,16.79653,387.1596,1,0,-1
36,2019/11/20 16:30:54.914,3.91386,18.62654,386.4503,1,0,-1
37,2019/11/20 16:30:54.982,4.346975,22.30153,386.8969,1,0,-1
38,2019/11/20 16:30:55.52,5.130921,26.35964,386.5842,1,0,0
39,2019/11/20 16:30:55.106,7.373408,25.0155,385.9603,1,0,-1
40,2019/11/20 16:30:55.163,10.57791,23.9558,387.2659,1,0,-1
41,2019/11/20 16:30:55.247,13.32205,22.2042,387.3371,1,0,-1
42,2019/11/20 16:30:55.310,14.69106,19.88925,386.5723,1,0,-1
43,2019/11/20 16:30:55.370,14.47766,16.6051,386.806,1,0,-1
44,2019/11/20 16:30:55.458,16.45216,7.384204,387.2053,1,0,-1
45,2019/11/20 16:30:55.512,16.7689,4.846893,386.8768,1,0,-1
46,2019/11/20 16:30:55.566,19.20704,16.25626,384.801,1,0,-1
47,2019/11/20 16:30:55.638,21.36008,39.45662,384.2254,1,0,0
48,2019/11/20 16:30:55.707,22.88427,65.16911,383.1507,1,0,0
49,2019/11/20 16:30:55.761,22.56371,87.18386,379.1658,1,0,1
50,2019/11/20 16:30:55.837,22.2708,93.30206,376.6545,1,0,1
51,2019/11/20 16:30:55.897,20.75779,100.8441,373.0232,1,0,1
52,2019/11/20 16:30:55.970,20.93436,99.95599,373.8271,1,0,1
53,2019/11/20 16:30:56.42,21.73801,100.3365,374.2409,1,0,1
54,2019/11/20 16:30:56.95,23.41578,102.6734,372.5202,1,0,1
55,2019/11/20 16:30:56.147,26.02767,113.4002,370.9424,1,0,1
56,2019/11/20 16:30:56.232,26.70746,118.4108,369.0822,1,0,1
57,2019/11/20 16:30:56.285,29.26413,130.5307,366.9252,1,0,1
58,2019/11/20 16:30:56.345,30.49328,141.1139,363.2669,1,0,1
59,2019/11/20 16:30:56.418,30.78442,146.32,361.5456,1,0,1
60,2019/11/20 16:30:56.486,31.09448,144.8747,361.5908,1,0,1
61,2019/11/20 16:30:56.543,31.49119,137.341,363.9087,1,0,1
62,2019/11/20 16:30:56.618,30.95711,122.1811,365.3745,1,0,1
63,2019/11/20 16:30:56.680,27.55635,95.85887,361.8012,1,0,1
64,2019/11/20 16:30:56.741,22.03855,62.74341,357.9882,1,0,0
65,2019/11/20 16:30:56.809,17.99745,29.11604,358.6639,1,0,0
66,2019/11/20 16:30:56.864,17.1267,4.310971,357.6954,1,0,-1
67,2019/11/20 16:30:56.925,17.40145,-15.46288,359.9655,1,0,-1
68,2019/11/20 16:30:57.2,18.24002,-28.73843,357.5742,1,0,0
69,2019/11/20 16:30:57.61,18.19639,-40.30211,357.2274,1,0,0
70,2019/11/20 16:30:57.117,18.63435,-44.21598,357.0835,1,0,0
71,2019/11/20 16:30:57.188,18.9456,-51.02596,356.5244,1,0,0
72,2019/11/20 16:30:57.255,19.59656,-54.36212,356.6315,1,0,0
73,2019/11/20 16:30:57.312,22.10139,-50.62545,359.6607,1,0,0
74,2019/11/20 16:30:57.380,23.31773,-46.43824,360.9298,1,0,0
75,2019/11/20 16:30:57.429,26.85487,-33.94474,367.1081,1,0,0
76,2019/11/20 16:30:57.491,34.16852,0.4903828,374.4248,1,0,-1
77,2019/11/20 16:30:57.560,36.80556,17.88935,373.4648,1,0,-1
78,2019/11/20 16:30:57.616,39.33057,33.06166,376.3273,1,0,0
79,2019/11/20 16:30:57.679,45.19646,70.7574,381.5973,1,0,0
80,2019/11/20 16:30:57.760,46.70961,79.17639,382.4817,1,0,0
81,2019/11/20 16:30:57.816,49.56509,90.24732,384.5467,1,0,1
82,2019/11/20 16:30:57.875,52.92982,93.65331,387.3663,1,0,1
83,2019/11/20 16:30:57.946,52.38862,86.38228,386.8243,1,0,1
84,2019/11/20 16:30:58.13,51.29586,79.38876,385.4172,1,0,0
85,2019/11/20 16:30:58.69,47.1556,58.87549,378.3344,1,0,0
86,2019/11/20 16:30:58.137,39.94907,31.33299,369.2568,1,0,0
87,2019/11/20 16:30:58.194,33.0277,3.556873,360.1083,1,0,-1
88,2019/11/20 16:30:58.262,30.30322,-20.47691,358.5753,1,0,-1
89,2019/11/20 16:30:58.333,29.99824,-39.99339,358.1147,1,0,0
90,2019/11/20 16:30:58.396,31.3525,-55.81136,355.373,1,0,0
91,2019/11/20 16:30:58.467,33.85454,-67.70639,355.103,1,0,0
92,2019/11/20 16:30:58.538,35.42867,-70.75493,356.2457,1,0,0
93,2019/11/20 16:30:58.597,36.11046,-64.07318,360.2611,1,0,0
94,2019/11/20 16:30:58.667,37.36747,-50.83431,364.7855,1,0,0
95,2019/11/20 16:30:58.736,39.22666,-34.33272,367.5406,1,0,0
96,2019/11/20 16:30:58.787,40.09494,-17.44704,371.5056,1,0,-1
97,2019/11/20 16:30:58.838,39.73985,-1.32892,375.2825,1,0,-1
98,2019/11/20 16:30:58.918,39.62775,13.31873,379.5518,1,0,-1
99,2019/11/20 16:30:58.982,40.55284,19.89569,381.1202,1,0,-1
100,2019/11/20 16:30:59.43,43.80936,32.28867,383.374,1,0,0
101,2019/11/20 16:30:59.124,45.7762,37.32002,384.5845,1,0,0
102,2019/11/20 16:30:59.184,45.29659,37.87528,384.9998,1,0,0
103,2019/11/20 16:30:59.242,43.13999,33.23655,382.6541,1,0,0
104,2019/11/20 16:30:59.324,41.91455,26.84108,381.3061,1,0,0
105,2019/11/20 16:30:59.376,41.97375,23.85495,380.7927,1,0,-1
106,2019/11/20 16:30:59.433,43.31908,18.19617,380.1102,1,0,-1
107,2019/11/20 16:30:59.502,45.24962,15.32308,380.9037,1,0,-1
108,2019/11/20 16:30:59.571,44.36688,14.83346,380.6526,1,0,-1
109,2019/11/20 16:30:59.628,41.62967,13.33454,379.8762,1,0,-1
110,2019/11/20 16:30:59.708,40.35417,15.62218,380.1852,1,0,-1
111,2019/11/20 16:30:59.777,38.75614,22.43895,380.7537,1,0,-1
112,2019/11/20 16:30:59.840,37.01999,26.33118,379.1992,1,0,0
113,2019/11/20 16:30:59.917,37.29562,23.53991,379.049,1,0,-1
114,2019/11/20 16:30:59.994,37.49674,22.1571,378.8368,1,0,-1
115,2019/11/20 16:31:00.61,37.00717,23.11254,377.7612,1,0,-1
116,2019/11/20 16:31:00.129,35.5566,22.77794,376.8777,1,0,-1
117,2019/11/20 16:31:00.202,35.30689,22.50776,374.2014,1,0,-1
118,2019/11/20 16:31:00.262,38.20633,13.46081,376.5836,1,0,-1
119,2019/11/20 16:31:00.331,39.73705,6.635503,378.2422,1,0,-1
120,2019/11/20 16:31:00.401,38.4502,7.089144,377.928,1,0,-1
121,2019/11/20 16:31:00.454,37.53202,14.39092,379.593,1,0,-1
122,2019/11/20 16:31:00.529,34.9369,22.53482,377.4343,1,0,-1
123,2019/11/20 16:31:00.581,32.44391,27.25438,378.4776,1,0,0
124,2019/11/20 16:31:00.646,14.73287,31.18502,378.7248,1,0,0
125,2019/11/20 16:31:00.717,8.679236,31.07763,377.4229,1,0,0
126,2019/11/20 16:31:00.778,7.122683,30.46218,377.1808,1,0,0
127,2019/11/20 16:31:00.837,0.3411248,20.51468,380.4817,1,0,-1
128,2019/11/20 16:31:00.918,-3.064669,17.90062,380.4569,1,0,-1
129,2019/11/20 16:31:00.977,-11.50036,29.76151,381.0811,1,0,0
130,2019/11/20 16:31:01.40,-29.11514,17.6165,379.0169,1,0,-1
131,2019/11/20 16:31:01.120,-49.53953,19.41787,379.1626,1,0,-1
132,2019/11/20 16:31:01.181,-50.06426,30.68453,380.9837,1,0,0
133,2019/11/20 16:31:01.243,-76.21973,52.82056,365.0411,1,0,0
134,2019/11/20 16:31:01.326,-85.1271,57.77621,352.9451,1,0,0
135,2019/11/20 16:31:01.392,-74.0124,76.81116,346.6506,1,0,0
136,2019/11/20 16:31:01.453,-71.35643,78.94778,343.8901,1,0,0
137,2019/11/20 16:31:01.535,-71.48636,86.69351,339.2542,1,0,1
138,2019/11/20 16:31:01.587,-67.83938,96.44606,338.295,1,0,1
139,2019/11/20 16:31:01.642,-58.03698,108.0145,337.2954,1,0,1
140,2019/11/20 16:31:01.714,-46.01688,118.154,336.5032,1,0,1
