count,dateTime,waistX,waistY,waistZ,expStatus,LimitStatus,overStatus,freq
0,2019/11/24 23:30:38.320,7.720677,36.22445,479.5951,1,0,0,100
1,2019/11/24 23:30:38.328,7.720677,36.22445,479.5951,1,0,0,100
2,2019/11/24 23:30:38.345,9.225128,36.91358,479.1854,1,0,0,100
3,2019/11/24 23:30:38.361,9.225128,36.91358,479.1854,1,0,0,100
4,2019/11/24 23:30:38.378,9.225128,36.91358,479.1854,1,0,0,100
5,2019/11/24 23:30:38.397,10.12729,37.19016,478.8385,1,0,0,100
6,2019/11/24 23:30:38.413,10.12729,37.19016,478.8385,1,0,0,100
7,2019/11/24 23:30:38.430,10.15561,37.13248,479.0743,1,0,0,100
8,2019/11/24 23:30:38.446,10.15561,37.13248,479.0743,1,0,0,100
9,2019/11/24 23:30:38.463,10.15561,37.13248,479.0743,1,0,0,100
10,2019/11/24 23:30:38.480,10.18627,37.17544,479.4344,1,0,0,100
11,2019/11/24 23:30:38.497,10.18627,37.17544,479.4344,1,0,0,100
12,2019/11/24 23:30:38.513,10.18627,37.17544,479.4344,1,0,0,100
13,2019/11/24 23:30:38.530,10.18627,37.17544,479.4344,1,0,0,100
14,2019/11/24 23:30:38.546,10.37059,36.94146,479.6877,1,0,0,100
15,2019/11/24 23:30:38.563,10.37059,36.94146,479.6877,1,0,0,100
16,2019/11/24 23:30:38.578,10.37059,36.94146,479.6877,1,0,0,100
17,2019/11/24 23:30:38.597,10.48551,37.57802,479.6786,1,0,0,100
18,2019/11/24 23:30:38.613,10.48551,37.57802,479.6786,1,0,0,100
19,2019/11/24 23:30:38.628,10.48551,37.57802,479.6786,1,0,0,100
20,2019/11/24 23:30:38.645,11.03496,38.55617,479.3992,1,0,0,100
21,2019/11/24 23:30:38.662,11.03496,38.55617,479.3992,1,0,0,100
22,2019/11/24 23:30:38.679,11.03496,38.55617,479.3992,1,0,0,100
23,2019/11/24 23:30:38.695,11.0194,39.35673,479.0462,1,0,0,100
24,2019/11/24 23:30:38.711,11.0194,39.35673,479.0462,1,0,0,100
25,2019/11/24 23:30:38.728,11.0194,39.35673,479.0462,1,0,0,100
26,2019/11/24 23:30:38.745,11.17597,40.01156,478.8205,1,0,0,100
27,2019/11/24 23:30:38.762,11.17597,40.01156,478.8205,1,0,0,100
28,2019/11/24 23:30:38.778,11.17597,40.01156,478.8205,1,0,0,100
29,2019/11/24 23:30:38.795,11.00375,40.44592,478.6526,1,0,0,100
30,2019/11/24 23:30:38.811,11.00375,40.44592,478.6526,1,0,0,100
31,2019/11/24 23:30:38.828,11.00375,40.44592,478.6526,1,0,0,100
32,2019/11/24 23:30:38.844,10.85971,40.6101,478.6738,1,0,0,100
33,2019/11/24 23:30:38.861,10.85971,40.6101,478.6738,1,0,0,100
34,2019/11/24 23:30:38.877,10.67479,41.00421,478.7076,1,0,0,100
35,2019/11/24 23:30:38.894,10.67479,41.00421,478.7076,1,0,0,100
36,2019/11/24 23:30:38.911,10.67479,41.00421,478.7076,1,0,0,100
37,2019/11/24 23:30:38.927,10.67479,41.00421,478.7076,1,0,0,100
38,2019/11/24 23:30:38.944,10.48041,40.60253,479.0408,1,0,0,100
39,2019/11/24 23:30:38.960,10.48041,40.60253,479.0408,1,0,0,100
40,2019/11/24 23:30:38.977,10.48041,40.60253,479.0408,1,0,0,100
41,2019/11/24 23:30:38.993,10.03726,40.57726,479.1029,1,0,0,100
42,2019/11/24 23:30:39.9,10.03726,40.57726,479.1029,1,0,0,100
43,2019/11/24 23:30:39.26,10.03726,40.57726,479.1029,1,0,0,100
44,2019/11/24 23:30:39.42,10.12558,41.5048,479.0234,1,0,0,100
45,2019/11/24 23:30:39.59,10.12558,41.5048,479.0234,1,0,0,100
46,2019/11/24 23:30:39.76,10.12558,41.5048,479.0234,1,0,0,100
47,2019/11/24 23:30:39.92,10.3209,42.43554,478.9405,1,0,0,100
48,2019/11/24 23:30:39.109,10.3209,42.43554,478.9405,1,0,0,100
49,2019/11/24 23:30:39.125,10.3209,42.43554,478.9405,1,0,0,100
50,2019/11/24 23:30:39.142,10.81218,43.0852,478.7422,1,0,0,100
51,2019/11/24 23:30:39.159,10.81218,43.0852,478.7422,1,0,0,100
52,2019/11/24 23:30:39.175,10.81218,43.0852,478.7422,1,0,0,100
53,2019/11/24 23:30:39.192,10.77582,44.13009,478.6501,1,0,0,100
54,2019/11/24 23:30:39.208,10.77582,44.13009,478.6501,1,0,0,100
