count,dateTime,waistX,waistY,waistZ,expStatus,LimitStatus,overStatus,freq
0,2019/11/24 23:27:34.924,9.470081,47.6635,593.868,1,0,0,100
1,2019/11/24 23:27:34.933,9.470081,47.6635,593.868,1,0,0,100
2,2019/11/24 23:27:34.948,9.608771,47.53899,593.9491,1,0,0,100
3,2019/11/24 23:27:34.966,10.10239,47.03174,594.0729,1,0,0,100
4,2019/11/24 23:27:34.982,10.10239,47.03174,594.0729,1,0,0,100
5,2019/11/24 23:27:34.998,10.10239,47.03174,594.0729,1,0,0,100
6,2019/11/24 23:27:35.14,10.5974,46.68388,594.2373,1,0,0,100
7,2019/11/24 23:27:35.31,11.14044,46.2188,594.463,1,0,0,100
8,2019/11/24 23:27:35.48,11.14044,46.2188,594.463,1,0,0,100
9,2019/11/24 23:27:35.65,11.05603,45.90049,594.4583,1,0,0,100
10,2019/11/24 23:27:35.82,11.05603,45.90049,594.4583,1,0,0,100
11,2019/11/24 23:27:35.98,11.01278,45.48981,594.485,1,0,0,100
12,2019/11/24 23:27:35.114,11.01278,45.48981,594.485,1,0,0,100
13,2019/11/24 23:27:35.131,10.88637,45.2442,594.6511,1,0,0,100
14,2019/11/24 23:27:35.148,10.88637,45.2442,594.6511,1,0,0,100
15,2019/11/24 23:27:35.165,10.40692,45.66061,594.5736,1,0,0,100
16,2019/11/24 23:27:35.181,10.40692,45.66061,594.5736,1,0,0,100
17,2019/11/24 23:27:35.198,9.529982,46.27328,594.5466,1,0,0,100
18,2019/11/24 23:27:35.213,9.529982,46.27328,594.5466,1,0,0,100
19,2019/11/24 23:27:35.230,8.994368,46.41031,594.5864,1,0,0,100
20,2019/11/24 23:27:35.247,8.994368,46.41031,594.5864,1,0,0,100
21,2019/11/24 23:27:35.263,8.536938,46.70752,594.5107,1,0,0,100
22,2019/11/24 23:27:35.280,8.536938,46.70752,594.5107,1,0,0,100
23,2019/11/24 23:27:35.296,7.981184,46.91995,594.4932,1,0,0,100
24,2019/11/24 23:27:35.313,7.981184,46.91995,594.4932,1,0,0,100
25,2019/11/24 23:27:35.330,7.252623,47.22164,594.1658,1,0,0,100
26,2019/11/24 23:27:35.346,7.252623,47.22164,594.1658,1,0,0,100
27,2019/11/24 23:27:35.363,7.252623,47.22164,594.1658,1,0,0,100
28,2019/11/24 23:27:35.379,6.914541,47.26111,594.1239,1,0,0,100
29,2019/11/24 23:27:35.396,6.914541,47.26111,594.1239,1,0,0,100
30,2019/11/24 23:27:35.412,6.368424,47.45414,593.924,1,0,0,100
31,2019/11/24 23:27:35.429,6.389236,47.42077,593.7435,1,0,0,100
32,2019/11/24 23:27:35.445,6.389236,47.42077,593.7435,1,0,0,100
33,2019/11/24 23:27:35.462,6.389236,47.42077,593.7435,1,0,0,100
34,2019/11/24 23:27:35.479,6.440718,47.34468,593.613,1,0,0,100
