count,dateTime,waistX,waistY,waistZ,expStatus,LimitStatus
0,2019/11/20 14:06:30.883,25.17855,90.20947,557.1114,1,0
1,2019/11/20 14:06:30.916,24.59511,93.38283,557.4107,1,0
2,2019/11/20 14:06:30.950,24.25526,95.7149,557.5908,1,0
3,2019/11/20 14:06:30.994,24.1696,97.60806,557.7245,1,0
4,2019/11/20 14:06:31.29,23.99443,99.33118,558.0596,1,0
5,2019/11/20 14:06:31.65,22.93146,101.4901,557.7894,1,0
6,2019/11/20 14:06:31.110,22.15029,101.7377,557.3333,1,0
7,2019/11/20 14:06:31.136,21.43362,101.3183,557.0601,1,0
8,2019/11/20 14:06:31.168,21.04285,100.3517,557.0596,1,0
9,2019/11/20 14:06:31.219,20.64113,99.24162,557.2683,1,0
10,2019/11/20 14:06:31.248,20.17396,98.13108,557.6038,1,0
11,2019/11/20 14:06:31.275,20.17396,98.13108,557.6038,1,0
12,2019/11/20 14:06:31.305,19.89457,95.76082,558.1813,1,0
13,2019/11/20 14:06:31.346,19.80005,94.50796,558.7075,1,0
14,2019/11/20 14:06:31.379,19.62522,93.69046,559.0701,1,0
15,2019/11/20 14:06:31.408,19.23726,93.3007,559.3444,1,0
16,2019/11/20 14:06:31.449,18.8717,93.39713,559.5549,1,0
17,2019/11/20 14:06:31.483,18.25926,93.8399,559.3579,1,0
18,2019/11/20 14:06:31.504,18.25926,93.8399,559.3579,1,0
19,2019/11/20 14:06:31.532,17.04994,95.10274,558.5723,1,0
20,2019/11/20 14:06:31.571,16.57221,95.54295,557.9185,1,0
21,2019/11/20 14:06:31.603,16.31055,95.71476,557.8031,1,0
22,2019/11/20 14:06:31.631,16.10358,95.41682,557.3918,1,0
23,2019/11/20 14:06:31.674,16.08794,94.95551,557.1608,1,0
24,2019/11/20 14:06:31.709,16.23929,94.13065,557.2604,1,0
25,2019/11/20 14:06:31.729,16.23929,94.13065,557.2604,1,0
26,2019/11/20 14:06:31.772,16.30931,92.07619,557.3113,1,0
27,2019/11/20 14:06:31.824,16.49269,90.97217,557.2325,1,0
28,2019/11/20 14:06:31.868,16.51919,90.2132,557.5273,1,0
29,2019/11/20 14:06:31.912,16.27156,89.20541,557.7281,1,0
30,2019/11/20 14:06:31.981,15.96731,88.8751,557.4153,1,0
31,2019/11/20 14:06:32.22,15.7351,88.44923,557.3093,1,0
32,2019/11/20 14:06:32.64,15.02731,87.5475,557.2344,1,0
33,2019/11/20 14:06:32.116,14.27474,85.96555,557.0153,1,0
34,2019/11/20 14:06:32.172,13.9111,85.13472,556.9546,1,0
35,2019/11/20 14:06:32.212,13.26605,84.17734,557.1352,1,0
36,2019/11/20 14:06:32.279,13.14782,83.85964,556.9701,1,0
37,2019/11/20 14:06:32.318,13.17359,83.96852,557.0976,1,0
38,2019/11/20 14:06:32.366,13.07198,84.52319,556.8748,1,0
39,2019/11/20 14:06:32.431,13.30049,84.77033,556.7843,1,0
40,2019/11/20 14:06:32.472,13.60952,84.64162,556.8691,1,0
41,2019/11/20 14:06:32.510,13.84007,84.35944,557.1165,1,0
42,2019/11/20 14:06:32.566,14.00369,84.21794,557.1001,1,0
43,2019/11/20 14:06:32.618,14.15075,84.47744,557.1797,1,0
44,2019/11/20 14:06:32.656,14.24345,84.86875,557.3982,1,0
45,2019/11/20 14:06:32.707,14.25641,85.35251,557.4825,1,0
46,2019/11/20 14:06:32.751,14.39483,86.00275,558.0197,1,0
47,2019/11/20 14:06:32.787,14.38545,86.1741,558.3808,1,0
48,2019/11/20 14:06:32.851,14.63235,85.97976,559.2397,1,0
49,2019/11/20 14:06:32.892,14.69518,85.94086,559.6081,1,0
50,2019/11/20 14:06:32.931,14.74275,86.04514,560.0685,1,0
51,2019/11/20 14:06:32.985,14.64693,86.59837,560.1727,1,0
52,2019/11/20 14:06:33.28,14.64857,87.03545,560.3564,1,0
53,2019/11/20 14:06:33.87,14.64885,87.63088,559.9852,1,0
54,2019/11/20 14:06:33.140,14.56267,88.00031,559.9252,1,0
55,2019/11/20 14:06:33.184,14.52039,88.25647,559.6216,1,0
56,2019/11/20 14:06:33.219,14.30379,88.31201,559.1901,1,0
57,2019/11/20 14:06:33.275,14.17448,87.897,559.3079,1,0
58,2019/11/20 14:06:33.326,13.90783,87.80773,559.3723,1,0
59,2019/11/20 14:06:33.366,13.69439,87.81248,559.2242,1,0
60,2019/11/20 14:06:33.418,13.48164,87.94402,558.9579,1,0
61,2019/11/20 14:06:33.459,13.39179,88.14651,558.9662,1,0
62,2019/11/20 14:06:33.499,13.44317,88.40932,558.8949,1,0
63,2019/11/20 14:06:33.565,13.28744,88.48135,558.9448,1,0
64,2019/11/20 14:06:33.611,13.16862,88.41666,558.9116,1,0
65,2019/11/20 14:06:33.648,13.06847,87.85561,559.0158,1,0
66,2019/11/20 14:06:33.701,13.02112,87.34503,559.2282,1,0
67,2019/11/20 14:06:33.753,13.21379,86.58695,559.6002,1,0
68,2019/11/20 14:06:33.798,13.45121,86.21581,559.7648,1,0
69,2019/11/20 14:06:33.849,13.74096,86.34052,560.4924,1,0
70,2019/11/20 14:06:33.892,13.82675,86.46934,560.933,1,0
71,2019/11/20 14:06:33.929,13.81632,86.68126,561.2288,1,0
72,2019/11/20 14:06:33.998,13.59698,86.90696,561.4968,1,0
73,2019/11/20 14:06:34.42,13.38388,87.15695,561.4911,1,0
74,2019/11/20 14:06:34.79,13.24595,87.33876,561.0999,1,0
75,2019/11/20 14:06:34.134,13.27827,87.35315,560.9072,1,0
76,2019/11/20 14:06:34.186,13.42524,87.15682,560.4667,1,0
77,2019/11/20 14:06:34.228,13.62447,86.7966,560.3372,1,0
78,2019/11/20 14:06:34.280,13.66564,86.24219,560.3928,1,0
79,2019/11/20 14:06:34.322,13.72705,85.99001,560.5292,1,0
80,2019/11/20 14:06:34.361,13.74775,86.07841,560.6489,1,0
81,2019/11/20 14:06:34.427,13.64686,86.28864,560.5254,1,0
82,2019/11/20 14:06:34.470,13.68815,87.29073,560.8513,1,0
83,2019/11/20 14:06:34.509,13.53663,87.82529,560.6227,1,0
84,2019/11/20 14:06:34.570,13.51514,87.90913,560.4164,1,0
85,2019/11/20 14:06:34.626,13.90909,87.5075,560.6039,1,0
86,2019/11/20 14:06:34.667,14.18925,87.26523,560.9139,1,0
87,2019/11/20 14:06:34.721,14.45296,86.58879,560.7017,1,0
88,2019/11/20 14:06:34.763,14.58823,86.1817,560.6415,1,0
89,2019/11/20 14:06:34.801,14.45423,85.83543,560.8997,1,0
90,2019/11/20 14:06:34.866,14.39571,85.76836,560.7996,1,0
