count,dateTime,waistX,waistY,waistZ,expStatus,LimitStatus
0,2019/11/19 17:44:24.152,87.77151,-109.6031,608.1296,1,0
1,2019/11/19 17:44:24.187,86.37297,-100.12,609.8854,1,0
2,2019/11/19 17:44:24.214,85.52335,-89.23389,612.1771,1,0
3,2019/11/19 17:44:24.243,85.2518,-78.97882,613.7665,1,0
4,2019/11/19 17:44:24.288,85.64584,-74.05419,614.3438,1,0
5,2019/11/19 17:44:24.323,86.44948,-69.68305,613.5042,1,0
6,2019/11/19 17:44:24.361,87.79572,-66.4918,612.8847,1,0
7,2019/11/19 17:44:24.412,89.57032,-63.90416,612.5589,1,0
8,2019/11/19 17:44:24.445,91.53675,-61.43976,612.0034,1,0
9,2019/11/19 17:44:24.483,95.85882,-55.71478,613.7297,1,0
10,2019/11/19 17:44:24.530,98.4295,-52.01138,615.1102,1,0
11,2019/11/19 17:44:24.564,100.4632,-48.15776,615.9022,1,0
12,2019/11/19 17:44:24.605,102.2215,-44.29508,616.4672,1,0
13,2019/11/19 17:44:24.629,102.2215,-44.29508,616.4672,1,0
14,2019/11/19 17:44:24.678,106.1403,-35.2016,620.6518,1,0
15,2019/11/19 17:44:24.709,106.7518,-29.67495,621.1812,1,0
16,2019/11/19 17:44:24.742,105.859,-18.63879,621.1075,1,0
17,2019/11/19 17:44:24.784,105.1086,-14.92664,620.0687,1,0
18,2019/11/19 17:44:24.825,105.1742,-11.67282,621.1706,1,0
19,2019/11/19 17:44:24.856,105.4105,-8.882688,621.2003,1,0
20,2019/11/19 17:44:24.902,105.3545,-6.952794,621.5546,1,0
21,2019/11/19 17:44:24.943,105.4018,-4.993213,622.1448,1,0
22,2019/11/19 17:44:24.975,105.6862,-3.467304,621.4326,1,0
23,2019/11/19 17:44:25.17,105.7799,-3.824412,621.2555,1,0
24,2019/11/19 17:44:25.57,106.1195,-4.830024,622.0192,1,0
25,2019/11/19 17:44:25.87,106.6411,-5.237811,622.4957,1,0
26,2019/11/19 17:44:25.130,106.8323,-6.045013,622.4386,1,0
27,2019/11/19 17:44:25.161,107.0489,-6.1176,623.4341,1,0
28,2019/11/19 17:44:25.193,106.7991,-6.171547,623.8954,1,0
29,2019/11/19 17:44:25.238,106.6961,-5.661665,624.2094,1,0
30,2019/11/19 17:44:25.277,106.6331,-5.596158,624.3607,1,0
31,2019/11/19 17:44:25.307,106.6958,-5.26392,625.2401,1,0
32,2019/11/19 17:44:25.352,106.3395,-4.93049,624.7336,1,0
33,2019/11/19 17:44:25.381,106.0707,-5.135149,625.1407,1,0
34,2019/11/19 17:44:25.413,105.9505,-5.204461,625.5452,1,0
35,2019/11/19 17:44:25.455,105.793,-5.629233,625.118,1,0
36,2019/11/19 17:44:25.496,105.7855,-6.049044,625.6196,1,0
37,2019/11/19 17:44:25.544,105.7619,-6.085471,626.0433,1,0
38,2019/11/19 17:44:25.588,105.682,-6.25377,626.2703,1,0
39,2019/11/19 17:44:25.619,105.7636,-6.510535,626.8425,1,0
40,2019/11/19 17:44:25.650,105.7843,-6.712712,627.0792,1,0
41,2019/11/19 17:44:25.680,105.7843,-6.712712,627.0792,1,0
42,2019/11/19 17:44:25.737,105.8049,-6.51071,627.3623,1,0
43,2019/11/19 17:44:25.772,105.702,-6.346719,627.4514,1,0
44,2019/11/19 17:44:25.802,105.6669,-5.973851,627.657,1,0
45,2019/11/19 17:44:25.847,105.5464,-5.866,627.705,1,0
46,2019/11/19 17:44:25.877,105.4364,-5.900747,627.5901,1,0
47,2019/11/19 17:44:25.909,105.418,-6.072675,628.0264,1,0
48,2019/11/19 17:44:25.965,105.4071,-5.585116,628.6965,1,0
49,2019/11/19 17:44:25.999,105.1584,-4.946602,629.0224,1,0
50,2019/11/19 17:44:26.29,104.4433,-3.004832,630.0701,1,0
51,2019/11/19 17:44:26.77,104.0066,-2.082333,630.164,1,0
52,2019/11/19 17:44:26.108,103.6114,-1.56827,630.436,1,0
53,2019/11/19 17:44:26.142,103.4298,-0.953677,630.5549,1,0
54,2019/11/19 17:44:26.191,103.2043,-0.6314498,630.7212,1,0
55,2019/11/19 17:44:26.227,102.6873,-0.3130693,630.7773,1,0
56,2019/11/19 17:44:26.262,102.2504,-0.06783982,630.4783,1,0
57,2019/11/19 17:44:26.308,101.9661,-0.0822206,630.1981,1,0
