count,dateTime,waistX,waistY,waistZ,expStatus,LimitStatus,overStatus
count,dateTime,waistX,waistY,waistZ,expStatus,LimitStatus,overStatus
0,2019/11/22 15:06:18.938,15.4806,14.15537,247.5587,1,0,0
1,2019/11/22 15:06:18.954,15.4806,14.15537,247.5587,1,0,0
2,2019/11/22 15:06:18.977,15.78886,14.58843,247.328,1,0,0
3,2019/11/22 15:06:19.3,16.08123,15.01805,247.1198,1,0,0
4,2019/11/22 15:06:19.20,16.4047,15.33285,246.9333,1,0,0
5,2019/11/22 15:06:19.37,16.4047,15.33285,246.9333,1,0,0
6,2019/11/22 15:06:19.54,16.59152,15.58092,246.7492,1,0,0
7,2019/11/22 15:06:19.70,16.59152,15.58092,246.7492,1,0,0
8,2019/11/22 15:06:19.96,16.69624,15.82623,246.5721,1,0,0
9,2019/11/22 15:06:19.113,16.69624,15.82623,246.5721,1,0,0
10,2019/11/22 15:06:19.129,16.73767,16.10009,246.4132,1,0,0
11,2019/11/22 15:06:19.146,16.8066,16.27648,246.2851,1,0,0
12,2019/11/22 15:06:19.163,16.8066,16.27648,246.2851,1,0,0
13,2019/11/22 15:06:19.187,16.87722,16.3754,246.241,1,0,0
14,2019/11/22 15:06:19.205,16.87722,16.3754,246.241,1,0,0
15,2019/11/22 15:06:19.222,16.98356,16.39847,246.1584,1,0,0
16,2019/11/22 15:06:19.240,17.37404,15.99006,246.2603,1,0,0
17,2019/11/22 15:06:19.257,17.37404,15.99006,246.2603,1,0,0
18,2019/11/22 15:06:19.281,18.26363,15.70999,246.2451,1,0,0
19,2019/11/22 15:06:19.298,18.26363,15.70999,246.2451,1,0,0
20,2019/11/22 15:06:19.315,19.26844,15.24914,246.228,1,0,0
21,2019/11/22 15:06:19.332,19.26844,15.24914,246.228,1,0,0
22,2019/11/22 15:06:19.348,21.16154,13.67939,246.4055,1,0,0
23,2019/11/22 15:06:19.366,21.16154,13.67939,246.4055,1,0,0
24,2019/11/22 15:06:19.382,21.16154,13.67939,246.4055,1,0,0
25,2019/11/22 15:06:19.406,23.21931,11.99431,246.4185,1,0,0
26,2019/11/22 15:06:19.425,24.50773,9.832335,246.353,1,0,0
27,2019/11/22 15:06:19.442,24.50773,9.832335,246.353,1,0,0
28,2019/11/22 15:06:19.459,25.51704,7.697002,246.247,1,0,0
29,2019/11/22 15:06:19.476,25.51704,7.697002,246.247,1,0,0
30,2019/11/22 15:06:19.500,26.48287,5.965101,246.1037,1,0,0
31,2019/11/22 15:06:19.522,27.69897,4.160949,246.1048,1,0,0
32,2019/11/22 15:06:19.537,27.69897,4.160949,246.1048,1,0,0
33,2019/11/22 15:06:19.568,28.47147,3.236676,246.2158,1,0,0
34,2019/11/22 15:06:19.593,28.33675,1.062404,246.6207,1,0,0
35,2019/11/22 15:06:19.611,27.80746,-0.6869237,246.9048,1,0,0
36,2019/11/22 15:06:19.628,27.80746,-0.6869237,246.9048,1,0,0
37,2019/11/22 15:06:19.645,26.91087,-1.275915,246.9827,1,0,0
38,2019/11/22 15:06:19.662,26.91087,-1.275915,246.9827,1,0,0
39,2019/11/22 15:06:19.686,25.00695,-2.06266,247.1513,1,0,0
40,2019/11/22 15:06:19.703,22.31156,-2.933531,246.9321,1,0,0
41,2019/11/22 15:06:19.720,22.31156,-2.933531,246.9321,1,0,0
42,2019/11/22 15:06:19.737,22.31156,-2.933531,246.9321,1,0,0
43,2019/11/22 15:06:19.756,20.63426,-3.290672,246.5621,1,0,0
44,2019/11/22 15:06:19.782,20.56251,-3.349097,246.4408,1,0,0
45,2019/11/22 15:06:19.799,20.56251,-3.349097,246.4408,1,0,0
46,2019/11/22 15:06:19.815,21.1312,-3.133869,246.5011,1,0,0
47,2019/11/22 15:06:19.832,21.1312,-3.133869,246.5011,1,0,0
48,2019/11/22 15:06:19.849,21.1312,-3.133869,246.5011,1,0,0
49,2019/11/22 15:06:19.866,21.28613,-3.120112,246.4836,1,0,0
50,2019/11/22 15:06:19.893,21.34009,-3.016174,246.5003,1,0,0
51,2019/11/22 15:06:19.909,21.34009,-3.016174,246.5003,1,0,0
52,2019/11/22 15:06:19.926,21.29654,-2.856898,246.4365,1,0,0
53,2019/11/22 15:06:19.948,21.45849,-2.446013,246.3064,1,0,0
54,2019/11/22 15:06:19.964,21.45849,-2.446013,246.3064,1,0,0
55,2019/11/22 15:06:19.988,20.89635,-2.277751,246.1318,1,0,0
56,2019/11/22 15:06:20.5,20.89635,-2.277751,246.1318,1,0,0
57,2019/11/22 15:06:20.22,20.72532,-2.318779,246.0428,1,0,0
58,2019/11/22 15:06:20.49,20.91084,-2.274442,246.0608,1,0,0
59,2019/11/22 15:06:20.65,20.91084,-2.274442,246.0608,1,0,0
60,2019/11/22 15:06:20.89,20.93243,-2.221586,246.163,1,0,0
61,2019/11/22 15:06:20.106,20.56447,-2.201566,246.2096,1,0,0
62,2019/11/22 15:06:20.123,20.56447,-2.201566,246.2096,1,0,0
63,2019/11/22 15:06:20.140,20.56447,-2.201566,246.2096,1,0,0
64,2019/11/22 15:06:20.161,20.11483,-2.170887,246.221,1,0,0
65,2019/11/22 15:06:20.186,19.7582,-2.174561,246.1726,1,0,0
66,2019/11/22 15:06:20.203,19.72269,-2.073057,246.0927,1,0,0
67,2019/11/22 15:06:20.220,19.72269,-2.073057,246.0927,1,0,0
68,2019/11/22 15:06:20.239,19.91285,-1.90062,246.0132,1,0,0
69,2019/11/22 15:06:20.256,19.91285,-1.90062,246.0132,1,0,0
70,2019/11/22 15:06:20.272,19.91285,-1.90062,246.0132,1,0,0
71,2019/11/22 15:06:20.297,19.82391,-1.7518,245.9869,1,0,0
72,2019/11/22 15:06:20.314,19.81948,-1.35001,245.9218,1,0,0
73,2019/11/22 15:06:20.331,19.81948,-1.35001,245.9218,1,0,0
74,2019/11/22 15:06:20.348,19.81948,-1.35001,245.9218,1,0,0
75,2019/11/22 15:06:20.371,19.72879,-0.7701333,245.7907,1,0,0
76,2019/11/22 15:06:20.395,19.2113,-0.1346089,245.5915,1,0,0
77,2019/11/22 15:06:20.413,18.42847,0.4287664,245.2615,1,0,0
78,2019/11/22 15:06:20.429,18.42847,0.4287664,245.2615,1,0,0
79,2019/11/22 15:06:20.446,17.85065,0.8353285,245.027,1,0,0
80,2019/11/22 15:06:20.463,17.85065,0.8353285,245.027,1,0,0
81,2019/11/22 15:06:20.487,17.57603,1.149913,244.8403,1,0,0
82,2019/11/22 15:06:20.505,17.28578,1.385316,244.7578,1,0,0
83,2019/11/22 15:06:20.522,17.28578,1.385316,244.7578,1,0,0
84,2019/11/22 15:06:20.539,17.28578,1.385316,244.7578,1,0,0
85,2019/11/22 15:06:20.557,17.06691,1.555547,244.6806,1,0,0
86,2019/11/22 15:06:20.588,16.90326,1.695564,244.6673,1,0,0
87,2019/11/22 15:06:20.606,16.7288,1.814103,244.6761,1,0,0
88,2019/11/22 15:06:20.623,16.7288,1.814103,244.6761,1,0,0
89,2019/11/22 15:06:20.642,16.58607,1.885777,244.6395,1,0,0
90,2019/11/22 15:06:20.659,16.58607,1.885777,244.6395,1,0,0
91,2019/11/22 15:06:20.684,16.53986,1.932272,244.5833,1,0,0
92,2019/11/22 15:06:20.703,16.45977,1.966163,244.5683,1,0,0
93,2019/11/22 15:06:20.720,16.45977,1.966163,244.5683,1,0,0
94,2019/11/22 15:06:20.737,16.45977,1.966163,244.5683,1,0,0
95,2019/11/22 15:06:20.754,16.41991,1.992824,244.5204,1,0,0
96,2019/11/22 15:06:20.771,16.41991,1.992824,244.5204,1,0,0
97,2019/11/22 15:06:20.800,16.45901,2.104246,244.4918,1,0,0
98,2019/11/22 15:06:20.817,16.46214,2.269091,244.4187,1,0,0
99,2019/11/22 15:06:20.834,16.46214,2.269091,244.4187,1,0,0
100,2019/11/22 15:06:20.852,16.30204,2.422681,244.3004,1,0,0
101,2019/11/22 15:06:20.868,16.30204,2.422681,244.3004,1,0,0
102,2019/11/22 15:06:20.893,16.20412,2.646445,244.0825,1,0,0
103,2019/11/22 15:06:20.912,16.1434,2.931535,243.8412,1,0,0
104,2019/11/22 15:06:20.929,16.1434,2.931535,243.8412,1,0,0
105,2019/11/22 15:06:20.946,16.0513,3.213311,243.6617,1,0,0
106,2019/11/22 15:06:20.963,16.0513,3.213311,243.6617,1,0,0
107,2019/11/22 15:06:20.987,15.9704,3.481003,243.4785,1,0,0
108,2019/11/22 15:06:21.7,15.67116,3.682478,243.1745,1,0,0
109,2019/11/22 15:06:21.24,15.67116,3.682478,243.1745,1,0,0
110,2019/11/22 15:06:21.41,14.91848,3.967588,242.3967,1,0,0
111,2019/11/22 15:06:21.58,14.91848,3.967588,242.3967,1,0,0
112,2019/11/22 15:06:21.82,14.44187,3.861646,240.307,1,0,0
113,2019/11/22 15:06:21.100,14.82574,4.419669,236.8407,1,0,0
114,2019/11/22 15:06:21.116,14.82574,4.419669,236.8407,1,0,0
115,2019/11/22 15:06:21.135,12.1777,7.204068,230.8763,1,0,0
116,2019/11/22 15:06:21.152,12.1777,7.204068,230.8763,1,0,0
117,2019/11/22 15:06:21.168,12.1777,7.204068,230.8763,1,0,0
118,2019/11/22 15:06:21.192,7.930068,11.18643,224.1286,1,0,0
119,2019/11/22 15:06:21.215,4.660984,13.47209,214.9641,1,0,0
count,dateTime,waistX,waistY,waistZ,expStatus,LimitStatus,overStatus
0,2019/11/22 15:08:28.765,0.1316587,8.039307,231.2546,1,0,0
1,2019/11/22 15:08:28.782,0.04259035,8.122117,231.2141,1,0,0
2,2019/11/22 15:08:28.808,0.1989904,8.212206,231.212,1,0,0
3,2019/11/22 15:08:28.825,0.1989904,8.212206,231.212,1,0,0
4,2019/11/22 15:08:28.848,0.005809722,8.359508,231.2301,1,0,0
5,2019/11/22 15:08:28.866,-0.4981714,8.652475,231.0185,1,0,0
6,2019/11/22 15:08:28.883,-0.4981714,8.652475,231.0185,1,0,0
7,2019/11/22 15:08:28.901,-0.4949297,8.872567,230.8044,1,0,0
8,2019/11/22 15:08:28.918,-0.4949297,8.872567,230.8044,1,0,0
9,2019/11/22 15:08:28.943,-0.4278851,8.92334,230.6058,1,0,0
10,2019/11/22 15:08:28.960,-0.6598461,8.982526,230.438,1,0,0
11,2019/11/22 15:08:28.977,-0.6598461,8.982526,230.438,1,0,0
12,2019/11/22 15:08:28.994,-0.43734,9.020117,230.3941,1,0,0
13,2019/11/22 15:08:29.11,-0.43734,9.020117,230.3941,1,0,0
14,2019/11/22 15:08:29.34,-0.3180469,9.25435,230.3593,1,0,0
15,2019/11/22 15:08:29.51,-0.3180469,9.25435,230.3593,1,0,0
16,2019/11/22 15:08:29.68,-0.8497909,9.680325,230.2343,1,0,0
17,2019/11/22 15:08:29.85,-0.8497909,9.680325,230.2343,1,0,0
18,2019/11/22 15:08:29.103,-1.478841,10.13272,230.1336,1,0,0
19,2019/11/22 15:08:29.119,-1.478841,10.13272,230.1336,1,0,0
20,2019/11/22 15:08:29.136,-1.478841,10.13272,230.1336,1,0,0
21,2019/11/22 15:08:29.158,-2.093215,10.77065,230.064,1,0,0
22,2019/11/22 15:08:29.176,-3.374601,12.3731,229.6708,1,0,0
23,2019/11/22 15:08:29.193,-3.374601,12.3731,229.6708,1,0,0
24,2019/11/22 15:08:29.211,-5.116974,14.8372,229.1605,1,0,0
25,2019/11/22 15:08:29.228,-5.116974,14.8372,229.1605,1,0,0
26,2019/11/22 15:08:29.252,-7.379719,17.75545,228.1372,1,0,0
27,2019/11/22 15:08:29.269,-8.783106,20.54462,227.0807,1,0,0
28,2019/11/22 15:08:29.286,-8.783106,20.54462,227.0807,1,0,0
29,2019/11/22 15:08:29.303,-9.731372,23.15169,225.9806,1,0,0
30,2019/11/22 15:08:29.321,-9.731372,23.15169,225.9806,1,0,0
31,2019/11/22 15:08:29.345,-10.33389,24.06281,225.657,1,0,0
32,2019/11/22 15:08:29.364,-11.89107,25.60862,225.1486,1,0,0
33,2019/11/22 15:08:29.381,-11.89107,25.60862,225.1486,1,0,0
34,2019/11/22 15:08:29.398,-13.23774,27.21023,224.4707,1,0,0
35,2019/11/22 15:08:29.415,-13.23774,27.21023,224.4707,1,0,0
36,2019/11/22 15:08:29.437,-13.18438,28.9156,224.5016,1,0,0
37,2019/11/22 15:08:29.458,-13.25849,31.09644,223.7634,1,0,0
38,2019/11/22 15:08:29.475,-13.25849,31.09644,223.7634,1,0,0
39,2019/11/22 15:08:29.492,-15.0513,32.64881,223.2682,1,0,0
40,2019/11/22 15:08:29.509,-15.0513,32.64881,223.2682,1,0,0
41,2019/11/22 15:08:29.533,-16.3203,34.54876,222.3893,1,0,0
42,2019/11/22 15:08:29.550,-16.3203,34.54876,222.3893,1,0,0
43,2019/11/22 15:08:29.567,-16.3203,34.54876,222.3893,1,0,0
44,2019/11/22 15:08:29.584,-17.2162,36.33422,221.4735,1,0,0
45,2019/11/22 15:08:29.603,-18.13939,38.05469,220.5157,1,0,1
46,2019/11/22 15:08:29.630,-18.13939,38.05469,220.5157,1,0,1
47,2019/11/22 15:08:29.653,-19.23025,39.35342,219.777,1,0,1
48,2019/11/22 15:08:29.676,-20.01265,41.09552,218.8645,1,0,1
49,2019/11/22 15:08:29.693,-20.01265,41.09552,218.8645,1,0,1
50,2019/11/22 15:08:29.711,-20.10575,42.09162,218.2371,1,0,1
51,2019/11/22 15:08:29.739,-20.43668,43.26449,217.499,1,0,1
52,2019/11/22 15:08:29.756,-20.43668,43.26449,217.499,1,0,1
53,2019/11/22 15:08:29.778,-20.94771,44.30393,216.8021,1,0,1
54,2019/11/22 15:08:29.795,-21.4149,45.54763,216.1981,1,0,1
55,2019/11/22 15:08:29.812,-21.4149,45.54763,216.1981,1,0,1
56,2019/11/22 15:08:29.835,-22.20989,47.23558,215.27,1,0,1
57,2019/11/22 15:08:29.852,-22.20989,47.23558,215.27,1,0,1
58,2019/11/22 15:08:29.871,-21.68978,47.74197,215.099,1,0,1
59,2019/11/22 15:08:29.893,-20.82895,47.82638,215.0166,1,0,1
60,2019/11/22 15:08:29.910,-20.82895,47.82638,215.0166,1,0,1
61,2019/11/22 15:08:29.936,-20.90027,47.93423,214.768,1,0,1
62,2019/11/22 15:08:29.955,-20.20767,47.86306,214.7682,1,0,1
63,2019/11/22 15:08:29.972,-20.20767,47.86306,214.7682,1,0,1
64,2019/11/22 15:08:29.990,-20.00235,47.64343,214.7764,1,0,1
65,2019/11/22 15:08:30.6,-20.00235,47.64343,214.7764,1,0,1
