count,dateTime,waistX,waistY,waistZ,expStatus,LimitStatus
count,dateTime,waistX,waistY,waistZ,expStatus,LimitStatus
0,2019/11/19 17:39:29.538,83.06649,-9.352816,618.236,1,0
1,2019/11/19 17:39:29.579,83.02873,-9.225725,618.0856,1,0
2,2019/11/19 17:39:29.610,83.01292,-9.206866,617.8771,1,0
3,2019/11/19 17:39:29.640,83.01106,-9.311747,617.6811,1,0
4,2019/11/19 17:39:29.665,83.01106,-9.311747,617.6811,1,0
5,2019/11/19 17:39:29.706,83.01882,-9.68474,617.7657,1,0
6,2019/11/19 17:39:29.743,83.00665,-10.30991,617.5504,1,0
7,2019/11/19 17:39:29.761,83.00665,-10.30991,617.5504,1,0
8,2019/11/19 17:39:29.803,83.14162,-10.9532,617.9224,1,0
9,2019/11/19 17:39:29.840,83.0832,-10.97144,618.1712,1,0
10,2019/11/19 17:39:29.871,82.93056,-10.393,618.8337,1,0
11,2019/11/19 17:39:29.897,83.00166,-10.08237,619.066,1,0
12,2019/11/19 17:39:29.917,83.00166,-10.08237,619.066,1,0
13,2019/11/19 17:39:29.967,83.09363,-10.11165,619.1276,1,0
14,2019/11/19 17:39:29.998,83.35986,-10.31088,619.1978,1,0
15,2019/11/19 17:39:30.28,83.45056,-10.59466,619.0528,1,0
16,2019/11/19 17:39:30.71,83.4141,-10.95556,619.1593,1,0
17,2019/11/19 17:39:30.101,83.54298,-11.03199,619.068,1,0
18,2019/11/19 17:39:30.133,83.63188,-11.00579,618.787,1,0
19,2019/11/19 17:39:30.178,83.66364,-11.09701,618.3232,1,0
20,2019/11/19 17:39:30.220,83.76131,-11.25188,617.8434,1,0
21,2019/11/19 17:39:30.249,83.92358,-11.47991,617.0909,1,0
22,2019/11/19 17:39:30.290,84.08012,-11.81293,616.8781,1,0
23,2019/11/19 17:39:30.323,84.13887,-12.04262,616.5531,1,0
24,2019/11/19 17:39:30.354,84.18168,-12.23137,616.4419,1,0
25,2019/11/19 17:39:30.403,84.19349,-12.34328,616.2869,1,0
26,2019/11/19 17:39:30.435,84.13,-12.49573,616.0389,1,0
27,2019/11/19 17:39:30.464,84.14291,-12.97229,615.7188,1,0
28,2019/11/19 17:39:30.507,84.34601,-13.60733,615.6953,1,0
29,2019/11/19 17:39:30.535,84.5041,-13.9756,615.5608,1,0
30,2019/11/19 17:39:30.565,84.79465,-14.30535,615.535,1,0
31,2019/11/19 17:39:30.590,84.79465,-14.30535,615.535,1,0
32,2019/11/19 17:39:30.634,85.0089,-14.57045,615.9971,1,0
33,2019/11/19 17:39:30.661,85.17886,-14.79347,616.6235,1,0
34,2019/11/19 17:39:30.680,85.17886,-14.79347,616.6235,1,0
35,2019/11/19 17:39:30.709,85.24289,-14.64519,616.9944,1,0
36,2019/11/19 17:39:30.747,85.13831,-14.44778,617.2125,1,0
37,2019/11/19 17:39:30.779,84.85636,-14.28078,617.2639,1,0
38,2019/11/19 17:39:30.816,84.59044,-14.09147,617.4978,1,0
39,2019/11/19 17:39:30.858,84.41461,-13.62718,617.5353,1,0
40,2019/11/19 17:39:30.886,84.35451,-12.9495,617.7097,1,0
41,2019/11/19 17:39:30.919,84.29936,-12.30145,617.8591,1,0
42,2019/11/19 17:39:30.959,84.18311,-11.80864,617.4672,1,0
43,2019/11/19 17:39:30.991,84.2869,-11.67576,617.3692,1,0
44,2019/11/19 17:39:31.28,84.53003,-11.86878,617.2211,1,0
45,2019/11/19 17:39:31.71,84.84342,-12.16906,617.017,1,0
46,2019/11/19 17:39:31.99,85.15305,-12.4869,617.2701,1,0
47,2019/11/19 17:39:31.132,85.54799,-12.58301,617.4181,1,0
48,2019/11/19 17:39:31.170,85.69455,-12.75383,617.5027,1,0
49,2019/11/19 17:39:31.202,85.7159,-12.9361,617.5392,1,0
50,2019/11/19 17:39:31.241,85.62202,-12.97774,617.5479,1,0
51,2019/11/19 17:39:31.283,85.3694,-12.95705,617.5165,1,0
52,2019/11/19 17:39:31.312,85.13152,-12.88376,617.4018,1,0
53,2019/11/19 17:39:31.355,84.90788,-12.80356,616.9901,1,0
54,2019/11/19 17:39:31.397,84.75034,-12.80521,616.5938,1,0
55,2019/11/19 17:39:31.430,84.69075,-12.80937,616.1747,1,0
56,2019/11/19 17:39:31.466,84.68675,-12.84911,615.801,1,0
57,2019/11/19 17:39:31.509,84.80363,-12.91784,615.5183,1,0
58,2019/11/19 17:39:31.540,84.9823,-12.94007,615.2739,1,0
59,2019/11/19 17:39:31.572,85.1041,-13.22122,615.1071,1,0
60,2019/11/19 17:39:31.611,85.24559,-13.42316,614.9459,1,0
61,2019/11/19 17:39:31.643,85.30241,-13.57744,614.7992,1,0
62,2019/11/19 17:39:31.679,85.32536,-13.63587,614.6594,1,0
63,2019/11/19 17:39:31.720,85.31171,-13.64666,614.4969,1,0
64,2019/11/19 17:39:31.751,85.34448,-13.73372,614.3278,1,0
65,2019/11/19 17:39:31.781,85.44055,-13.80903,614.2079,1,0
66,2019/11/19 17:39:31.846,85.50515,-13.91927,614.0812,1,0
67,2019/11/19 17:39:31.896,85.60812,-14.10757,614.096,1,0
68,2019/11/19 17:39:31.934,85.85388,-14.55297,614.0536,1,0
69,2019/11/19 17:39:31.985,85.97366,-14.82493,613.9371,1,0
70,2019/11/19 17:39:32.27,86.05353,-15.20066,613.9275,1,0
