count,dateTime,waistX,waistY,waistZ,expStatus,LimitStatus,overStatus
0,2019/11/22 16:28:37.110,9.388053,-94.01419,580.5674,1,0,0
1,2019/11/22 16:28:37.132,8.836954,-94.97218,580.7701,1,0,0
2,2019/11/22 16:28:37.157,8.379069,-95.56302,580.6012,1,0,0
3,2019/11/22 16:28:37.194,8.193657,-95.81729,580.7751,1,0,0
4,2019/11/22 16:28:37.224,8.207453,-95.7496,580.9985,1,0,0
5,2019/11/22 16:28:37.251,8.230373,-95.52004,581.2772,1,0,0
6,2019/11/22 16:28:37.277,8.224788,-95.4058,581.5308,1,0,0
7,2019/11/22 16:28:37.293,8.224788,-95.4058,581.5308,1,0,0
8,2019/11/22 16:28:37.335,8.222129,-95.11226,581.6953,1,0,0
9,2019/11/22 16:28:37.360,8.444631,-94.36706,582.0856,1,0,0
10,2019/11/22 16:28:37.390,8.91466,-93.175,582.83,1,0,0
11,2019/11/22 16:28:37.415,9.493166,-91.83259,584.0275,1,0,0
12,2019/11/22 16:28:37.448,10.07841,-90.66351,585.0936,1,0,0
13,2019/11/22 16:28:37.475,10.88079,-89.02428,586.7287,1,0,0
14,2019/11/22 16:28:37.491,10.88079,-89.02428,586.7287,1,0,0
15,2019/11/22 16:28:37.514,11.96943,-86.51818,588.8193,1,0,0
16,2019/11/22 16:28:37.533,11.96943,-86.51818,588.8193,1,0,0
17,2019/11/22 16:28:37.566,13.24692,-83.78071,590.8501,1,0,0
18,2019/11/22 16:28:37.597,14.78464,-81.36265,593.1273,1,0,0
19,2019/11/22 16:28:37.621,16.26166,-79.79717,595.1237,1,0,0
20,2019/11/22 16:28:37.646,17.15175,-79.21434,596.7289,1,0,0
21,2019/11/22 16:28:37.680,17.6235,-78.79845,598.3151,1,0,0
22,2019/11/22 16:28:37.707,17.95318,-77.94894,599.6923,1,0,0
23,2019/11/22 16:28:37.724,17.95318,-77.94894,599.6923,1,0,0
24,2019/11/22 16:28:37.747,18.00984,-76.91006,602.2556,1,0,0
25,2019/11/22 16:28:37.775,17.8182,-75.51208,605.0262,1,0,0
26,2019/11/22 16:28:37.797,17.8182,-75.51208,605.0262,1,0,0
27,2019/11/22 16:28:37.829,17.79445,-73.18085,608.3547,1,0,0
28,2019/11/22 16:28:37.856,18.29419,-69.93212,612.6201,1,0,0
29,2019/11/22 16:28:37.879,18.8609,-66.34027,617.5864,1,0,1
30,2019/11/22 16:28:37.906,19.63558,-62.62972,622.7222,1,0,1
31,2019/11/22 16:28:37.924,19.63558,-62.62972,622.7222,1,0,1
32,2019/11/22 16:28:37.958,20.88664,-59.31667,627.4485,1,0,1
33,2019/11/22 16:28:37.982,22.41956,-56.08572,632.5319,1,0,1
34,2019/11/22 16:28:38.6,22.41956,-56.08572,632.5319,1,0,1
35,2019/11/22 16:28:38.28,24.27132,-52.49592,637.4904,1,0,1
