count,dateTime,waistX,waistY,waistZ,expStatus,LimitStatus,overStatus
0,2019/11/22 16:12:58.6,-3.242952,54.56441,610.5411,1,0,0
1,2019/11/22 16:12:58.20,-3.242952,54.56441,610.5411,1,0,0
2,2019/11/22 16:12:58.55,-2.99373,55.1338,611.0643,1,0,0
3,2019/11/22 16:12:58.93,-2.736164,55.69247,611.2841,1,0,0
4,2019/11/22 16:12:58.118,-2.531142,56.08755,611.7003,1,0,0
5,2019/11/22 16:12:58.151,-2.345556,56.16464,611.6862,1,0,0
6,2019/11/22 16:12:58.185,-2.227532,55.99247,611.6719,1,0,0
7,2019/11/22 16:12:58.212,-2.355087,55.56953,611.6473,1,0,0
8,2019/11/22 16:12:58.238,-2.966931,54.93667,611.1697,1,0,0
9,2019/11/22 16:12:58.272,-3.873281,54.44279,611.214,1,0,0
10,2019/11/22 16:12:58.295,-4.861116,53.90672,610.5153,1,0,0
11,2019/11/22 16:12:58.323,-5.963041,53.34638,610.0058,1,0,0
12,2019/11/22 16:12:58.361,-7.064326,52.95108,609.2258,1,0,0
13,2019/11/22 16:12:58.388,-8.161533,52.89072,608.9243,1,0,0
14,2019/11/22 16:12:58.410,-9.148247,53.01806,608.5588,1,0,0
15,2019/11/22 16:12:58.427,-9.148247,53.01806,608.5588,1,0,0
16,2019/11/22 16:12:58.458,-10.10207,53.09103,608.2593,1,0,0
17,2019/11/22 16:12:58.475,-10.10207,53.09103,608.2593,1,0,0
18,2019/11/22 16:12:58.500,-11.06846,52.8864,607.6666,1,0,0
19,2019/11/22 16:12:58.526,-11.9931,52.60649,607.2731,1,0,0
20,2019/11/22 16:12:58.544,-11.9931,52.60649,607.2731,1,0,0
21,2019/11/22 16:12:58.577,-12.609,52.27572,606.5579,1,0,0
22,2019/11/22 16:12:58.605,-13.15234,51.93126,605.7842,1,0,0
23,2019/11/22 16:12:58.629,-13.49402,51.77521,605.1163,1,0,0
24,2019/11/22 16:12:58.662,-13.55627,51.73279,604.5078,1,0,0
25,2019/11/22 16:12:58.687,-13.52601,51.55888,604.0763,1,0,0
26,2019/11/22 16:12:58.704,-13.52601,51.55888,604.0763,1,0,0
27,2019/11/22 16:12:58.725,-13.46693,51.12965,603.8165,1,0,0
28,2019/11/22 16:12:58.757,-13.3934,50.59628,603.5568,1,0,0
29,2019/11/22 16:12:58.787,-13.4605,50.27912,603.2635,1,0,0
30,2019/11/22 16:12:58.804,-13.4605,50.27912,603.2635,1,0,0
31,2019/11/22 16:12:58.826,-13.53346,50.05032,603.442,1,0,0
32,2019/11/22 16:12:58.860,-13.79411,49.74758,603.7784,1,0,0
33,2019/11/22 16:12:58.882,-14.15201,49.61047,603.9663,1,0,0
34,2019/11/22 16:12:58.898,-14.15201,49.61047,603.9663,1,0,0
35,2019/11/22 16:12:58.915,-14.15201,49.61047,603.9663,1,0,0
36,2019/11/22 16:12:58.938,-14.32784,49.69972,604.29,1,0,0
37,2019/11/22 16:12:58.971,-14.48585,49.99133,604.6769,1,0,0
38,2019/11/22 16:12:59.1,-14.5599,50.51751,605.1165,1,0,0
39,2019/11/22 16:12:59.29,-14.47436,50.96716,605.5795,1,0,0
40,2019/11/22 16:12:59.61,-14.37813,51.20919,605.7256,1,0,0
41,2019/11/22 16:12:59.87,-14.21313,51.20062,605.6298,1,0,0
42,2019/11/22 16:12:59.104,-14.21313,51.20062,605.6298,1,0,0
43,2019/11/22 16:12:59.126,-14.06697,51.03437,605.6384,1,0,0
44,2019/11/22 16:12:59.161,-14.09388,50.82476,605.869,1,0,0
45,2019/11/22 16:12:59.187,-14.25366,50.62228,606.1121,1,0,0
46,2019/11/22 16:12:59.215,-14.39713,50.43436,606.2647,1,0,0
47,2019/11/22 16:12:59.232,-14.39713,50.43436,606.2647,1,0,0
48,2019/11/22 16:12:59.259,-14.43561,50.22877,606.6145,1,0,0
49,2019/11/22 16:12:59.287,-14.43383,49.98748,606.74,1,0,0
50,2019/11/22 16:12:59.312,-14.38413,49.83475,606.8271,1,0,0
51,2019/11/22 16:12:59.344,-14.31618,49.75896,607.1532,1,0,0
52,2019/11/22 16:12:59.362,-14.31618,49.75896,607.1532,1,0,0
53,2019/11/22 16:12:59.378,-14.31618,49.75896,607.1532,1,0,0
54,2019/11/22 16:12:59.403,-14.35623,49.67444,607.326,1,0,0
55,2019/11/22 16:12:59.433,-14.48204,49.47959,607.1693,1,0,0
56,2019/11/22 16:12:59.465,-14.63075,49.16032,607.107,1,0,0
57,2019/11/22 16:12:59.490,-14.83117,48.70375,607.1758,1,0,0
58,2019/11/22 16:12:59.518,-14.99312,48.26441,607.1395,1,0,0
59,2019/11/22 16:12:59.535,-14.99312,48.26441,607.1395,1,0,0
60,2019/11/22 16:12:59.563,-15.16336,47.74233,606.9483,1,0,0
