count,dateTime,waistX,waistY,waistZ,expStatus,LimitStatus,overStatus
0,2019/11/22 16:39:37.574,-40.22805,21.26594,597.7642,1,0,0
1,2019/11/22 16:39:37.605,-40.37851,21.09898,597.6398,1,0,0
2,2019/11/22 16:39:37.640,-40.50042,20.86797,597.6337,1,0,0
3,2019/11/22 16:39:37.657,-40.50042,20.86797,597.6337,1,0,0
4,2019/11/22 16:39:37.696,-40.57094,20.73828,597.3337,1,0,0
5,2019/11/22 16:39:37.723,-40.45501,20.59074,597.1799,1,0,0
6,2019/11/22 16:39:37.756,-40.53294,20.59567,597.1943,1,0,0
7,2019/11/22 16:39:37.785,-40.61181,20.61683,597.0044,1,0,0
8,2019/11/22 16:39:37.826,-40.62325,20.6866,597.0549,1,0,0
9,2019/11/22 16:39:37.859,-40.52503,20.74162,596.8688,1,0,0
10,2019/11/22 16:39:37.892,-40.34742,20.62925,596.696,1,0,0
11,2019/11/22 16:39:37.918,-40.43105,20.57768,597.0514,1,0,0
12,2019/11/22 16:39:37.955,-40.47992,20.57957,596.9673,1,0,0
13,2019/11/22 16:39:37.978,-40.31746,20.49549,596.8735,1,0,0
14,2019/11/22 16:39:38.8,-40.21849,20.39977,597.1592,1,0,0
15,2019/11/22 16:39:38.35,-40.1034,20.25332,596.9045,1,0,0
16,2019/11/22 16:39:38.59,-40.1034,20.25332,596.9045,1,0,0
17,2019/11/22 16:39:38.94,-39.94934,19.91198,596.4717,1,0,0
18,2019/11/22 16:39:38.131,-39.83532,19.60036,596.6369,1,0,0
19,2019/11/22 16:39:38.158,-39.71815,19.48229,596.6914,1,0,0
20,2019/11/22 16:39:38.187,-39.66255,19.42211,596.7855,1,0,0
21,2019/11/22 16:39:38.220,-39.5537,19.25846,596.746,1,0,0
22,2019/11/22 16:39:38.247,-39.57214,19.10902,596.8719,1,0,0
23,2019/11/22 16:39:38.283,-39.62811,19.06889,596.933,1,0,0
24,2019/11/22 16:39:38.309,-39.61015,19.15284,597.2513,1,0,0
25,2019/11/22 16:39:38.345,-39.7212,19.33555,597.4267,1,0,0
26,2019/11/22 16:39:38.373,-39.82606,19.34534,597.1935,1,0,0
27,2019/11/22 16:39:38.389,-39.82606,19.34534,597.1935,1,0,0
28,2019/11/22 16:39:38.412,-40.03817,19.20133,597.2602,1,0,0
29,2019/11/22 16:39:38.447,-40.26905,19.03179,597.148,1,0,0
30,2019/11/22 16:39:38.485,-40.31876,18.72409,596.9317,1,0,0
31,2019/11/22 16:39:38.511,-40.45966,18.29439,597.1064,1,0,0
32,2019/11/22 16:39:38.540,-40.62282,17.89016,596.9554,1,0,0
33,2019/11/22 16:39:38.568,-40.75937,17.53832,597.0591,1,0,0
34,2019/11/22 16:39:38.605,-40.70599,17.18037,596.4956,1,0,0
35,2019/11/22 16:39:38.635,-40.59462,16.77495,596.2274,1,0,0
36,2019/11/22 16:39:38.660,-40.57635,16.32569,596.0388,1,0,0
37,2019/11/22 16:39:38.694,-40.5785,15.69518,595.6626,1,0,0
38,2019/11/22 16:39:38.711,-40.5785,15.69518,595.6626,1,0,0
39,2019/11/22 16:39:38.754,-40.87134,14.98315,595.5996,1,0,0
40,2019/11/22 16:39:38.778,-41.3991,14.19489,595.6245,1,0,0
41,2019/11/22 16:39:38.807,-41.87365,13.25898,595.8238,1,0,0
42,2019/11/22 16:39:38.831,-42.45833,12.49472,596.3705,1,0,0
43,2019/11/22 16:39:38.852,-42.45833,12.49472,596.3705,1,0,0
44,2019/11/22 16:39:38.885,-42.92,11.98273,596.3583,1,0,0
45,2019/11/22 16:39:38.918,-43.35561,11.84393,596.5055,1,0,0
46,2019/11/22 16:39:38.943,-43.62468,12.04394,596.1331,1,0,0
47,2019/11/22 16:39:38.974,-43.72008,12.24828,595.5644,1,0,0
48,2019/11/22 16:39:39.7,-43.68709,12.31163,594.9042,1,0,0
49,2019/11/22 16:39:39.35,-43.48703,12.21371,594.313,1,0,0
50,2019/11/22 16:39:39.60,-43.25577,11.99401,594.3158,1,0,0
51,2019/11/22 16:39:39.90,-42.98874,11.84082,594.0103,1,0,0
