count,dateTime,waistX,waistY,waistZ,expStatus,LimitStatus,overStatus
0,2019/11/22 15:45:49.930,160.7348,29.86835,570.0422,1,0,0
1,2019/11/22 15:45:49.946,160.7077,30.12816,570.4045,1,0,0
2,2019/11/22 15:45:49.964,160.6902,30.32926,570.8083,1,0,0
3,2019/11/22 15:45:49.981,160.6902,30.32926,570.8083,1,0,0
4,2019/11/22 15:45:49.998,160.6902,30.32926,570.8083,1,0,0
5,2019/11/22 15:45:50.20,160.6845,30.46899,571.3947,1,0,0
6,2019/11/22 15:45:50.40,160.6349,30.65793,571.9976,1,0,0
7,2019/11/22 15:45:50.57,160.6349,30.65793,571.9976,1,0,0
8,2019/11/22 15:45:50.73,160.4454,30.75204,572.2634,1,0,0
9,2019/11/22 15:45:50.102,160.3547,30.7329,572.6776,1,0,0
10,2019/11/22 15:45:50.119,160.3547,30.7329,572.6776,1,0,0
11,2019/11/22 15:45:50.136,160.2907,30.58644,573.1298,1,0,0
12,2019/11/22 15:45:50.153,160.2907,30.58644,573.1298,1,0,0
13,2019/11/22 15:45:50.170,160.1342,30.32187,573.3142,1,0,0
14,2019/11/22 15:45:50.194,159.9531,30.04015,573.4216,1,0,0
15,2019/11/22 15:45:50.211,159.9531,30.04015,573.4216,1,0,0
16,2019/11/22 15:45:50.227,159.826,29.87846,573.7927,1,0,0
17,2019/11/22 15:45:50.245,159.826,29.87846,573.7927,1,0,0
18,2019/11/22 15:45:50.261,159.804,29.94691,574.0936,1,0,0
19,2019/11/22 15:45:50.278,159.804,29.94691,574.0936,1,0,0
20,2019/11/22 15:45:50.301,159.8312,30.2755,574.3063,1,0,0
21,2019/11/22 15:45:50.320,159.8752,30.8307,574.3463,1,0,0
22,2019/11/22 15:45:50.337,159.8752,30.8307,574.3463,1,0,0
23,2019/11/22 15:45:50.353,159.8752,30.8307,574.3463,1,0,0
24,2019/11/22 15:45:50.369,160.004,31.42112,574.5963,1,0,0
25,2019/11/22 15:45:50.386,160.004,31.42112,574.5963,1,0,0
26,2019/11/22 15:45:50.411,159.9755,31.94144,574.3196,1,0,0
27,2019/11/22 15:45:50.429,160.0234,32.45539,574.296,1,0,0
28,2019/11/22 15:45:50.446,160.0234,32.45539,574.296,1,0,0
29,2019/11/22 15:45:50.462,160.0234,32.45539,574.296,1,0,0
30,2019/11/22 15:45:50.479,160.0854,32.95662,574.2075,1,0,0
31,2019/11/22 15:45:50.503,160.2584,33.50028,574.4233,1,0,0
