count,dateTime,waistX,waistY,waistZ,expStatus,LimitStatus
0,2019/11/20 14:14:40.140,-10.2731,98.97189,629.3779,1,0
1,2019/11/20 14:14:40.162,-10.66968,97.78167,628.8237,1,0
2,2019/11/20 14:14:40.197,-10.93764,95.99184,628.5293,1,0
3,2019/11/20 14:14:40.213,-10.93764,95.99184,628.5293,1,0
4,2019/11/20 14:14:40.244,-10.70709,92.27857,628.4395,1,0
5,2019/11/20 14:14:40.272,-10.52779,90.24602,628.0364,1,0
6,2019/11/20 14:14:40.319,-10.04322,88.78214,628.2526,1,0
7,2019/11/20 14:14:40.369,-9.522967,87.73235,628.2375,1,0
8,2019/11/20 14:14:40.400,-9.146941,86.9381,628.0342,1,0
9,2019/11/20 14:14:40.441,-8.609686,86.31217,627.8676,1,0
10,2019/11/20 14:14:40.471,-8.185429,85.84089,627.8605,1,0
11,2019/11/20 14:14:40.502,-7.566324,84.96952,627.531,1,0
12,2019/11/20 14:14:40.546,-7.465302,84.8369,627.5425,1,0
13,2019/11/20 14:14:40.581,-7.57347,84.89864,627.594,1,0
14,2019/11/20 14:14:40.615,-7.620042,84.97393,627.4058,1,0
15,2019/11/20 14:14:40.653,-7.725766,85.21995,627.4994,1,0
16,2019/11/20 14:14:40.684,-7.928714,85.39907,627.176,1,0
17,2019/11/20 14:14:40.722,-8.114885,85.56512,626.9896,1,0
18,2019/11/20 14:14:40.766,-8.31229,85.70451,626.8899,1,0
19,2019/11/20 14:14:40.800,-8.501096,85.77711,626.8866,1,0
20,2019/11/20 14:14:40.831,-8.552397,85.6646,626.6537,1,0
21,2019/11/20 14:14:40.869,-8.544752,85.43874,626.3605,1,0
22,2019/11/20 14:14:40.901,-8.465235,85.10598,626.1292,1,0
23,2019/11/20 14:14:40.932,-8.183691,84.48001,625.9269,1,0
24,2019/11/20 14:14:40.972,-7.978714,84.0505,626.1495,1,0
25,2019/11/20 14:14:41.8,-7.753032,83.64299,626.4994,1,0
26,2019/11/20 14:14:41.38,-7.550036,83.30872,626.977,1,0
27,2019/11/20 14:14:41.78,-7.371374,82.98788,627.6844,1,0
28,2019/11/20 14:14:41.110,-7.246632,82.91801,628.7517,1,0
29,2019/11/20 14:14:41.138,-7.234592,83.21856,630.6792,1,0
30,2019/11/20 14:14:41.181,-7.25489,84.11974,632.9222,1,0
31,2019/11/20 14:14:41.221,-7.189821,85.44707,635.4257,1,0
32,2019/11/20 14:14:41.251,-7.269814,86.62411,638.4787,1,0
